@id @lat @lon
id1 -48.6 -37.7
id2 -27.1 8.4
id3 6.6 -6.9
id4 -2.3 38.3
id5 6.8 -6.9
id6 -2.5 38.3
id7 0.1 -0.1
id8 -2.1 38.1
id9 -48.6 -37.7
id10 -27.1 8.4
id11 6.6 -6.9
id12 -2.3 38.3
id13 6.8 -6.9
id14 -2.5 38.3
id15 0.1 -0.1
id16 -2.1 38.1
id17 -48.6 -37.7
id18 -27.1 8.4
id19 6.6 -6.9
id20 -2.3 38.3
id21 6.8 -6.9
id22 -2.5 38.3
id23 0.1 -0.1
id24 -2.1 38.1
id25 -48.6 -37.7
id26 -27.1 8.4
id27 6.6 -6.9
id28 -2.3 38.3
id29 6.8 -6.9
id30 -2.5 38.3
id31 0.1 -0.1
id32 -2.1 38.1
id33 -48.6 -37.7
id34 -27.1 8.4
id35 6.6 -6.9
id36 -2.3 38.3
id37 6.8 -6.9
id38 -2.5 38.3
id39 0.1 -0.1
id40 -2.1 38.1
id41 -48.6 -37.7
id42 -27.1 8.4
id43 6.6 -6.9
id44 -2.3 38.3
id45 6.8 -6.9
id46 -2.5 38.3
id47 0.1 -0.1
id48 -2.1 38.1
id49 -48.6 -37.7
id50 -27.1 8.4
id51 6.6 -6.9
id52 -2.3 38.3
id53 6.8 -6.9
id54 -2.5 38.3
id55 0.1 -0.1
id56 -2.1 38.1
id57 -48.6 -37.7
id58 -27.1 8.4
id59 6.6 -6.9
id60 -2.3 38.3
id61 6.8 -6.9
id62 -2.5 38.3
id63 0.1 -0.1
id64 -2.1 38.1
id65 -48.6 -37.7
id66 -27.1 8.4
id67 6.6 -6.9
id68 -2.3 38.3
id69 6.8 -6.9
id70 -2.5 38.3
id71 0.1 -0.1
id72 -2.1 38.1
id73 -48.6 -37.7
id74 -27.1 8.4
id75 6.6 -6.9
id76 -2.3 38.3
id77 6.8 -6.9
id78 -2.5 38.3
id79 0.1 -0.1
id80 -2.1 38.1
id81 -48.6 -37.7
id82 -27.1 8.4
id83 6.6 -6.9
id84 -2.3 38.3
id85 6.8 -6.9
id86 -2.5 38.3
id87 0.1 -0.1
id88 -2.1 38.1
id89 -48.6 -37.7
id90 -27.1 8.4
id91 6.6 -6.9
id92 -2.3 38.3
id93 6.8 -6.9
id94 -2.5 38.3
id95 0.1 -0.1
id96 -2.1 38.1
id97 -48.6 -37.7
id98 -27.1 8.4
id99 6.6 -6.9
id100 -2.3 38.3
id101 6.8 -6.9
id102 -2.5 38.3
id103 0.1 -0.1
id104 -2.1 38.1
id105 -48.6 -37.7
id106 -27.1 8.4
id107 6.6 -6.9
id108 -2.3 38.3
id109 6.8 -6.9
id110 -2.5 38.3
id111 0.1 -0.1
id112 -2.1 38.1
id113 -48.6 -37.7
id114 -27.1 8.4
id115 6.6 -6.9
id116 -2.3 38.3
id117 6.8 -6.9
id118 -2.5 38.3
id119 0.1 -0.1
id120 -2.1 38.1
id121 -48.6 -37.7
id122 -27.1 8.4
id123 6.6 -6.9
id124 -2.3 38.3
id125 6.8 -6.9
id126 -2.5 38.3
id127 0.1 -0.1
id128 -2.1 38.1
id129 -48.6 -37.7
id130 -27.1 8.4
id131 6.6 -6.9
id132 -2.3 38.3
id133 6.8 -6.9
id134 -2.5 38.3
id135 0.1 -0.1
id136 -2.1 38.1
id137 -48.6 -37.7
id138 -27.1 8.4
id139 6.6 -6.9
id140 -2.3 38.3
id141 6.8 -6.9
id142 -2.5 38.3
id143 0.1 -0.1
id144 -2.1 38.1
id145 -48.6 -37.7
id146 -27.1 8.4
id147 6.6 -6.9
id148 -2.3 38.3
id149 6.8 -6.9
id150 -2.5 38.3
id151 0.1 -0.1
id152 -2.1 38.1
id153 -48.6 -37.7
id154 -27.1 8.4
id155 6.6 -6.9
id156 -2.3 38.3
id157 6.8 -6.9
id158 -2.5 38.3
id159 0.1 -0.1
id160 -2.1 38.1
id161 -48.6 -37.7
id162 -27.1 8.4
id163 6.6 -6.9
id164 -2.3 38.3
id165 6.8 -6.9
id166 -2.5 38.3
id167 0.1 -0.1
id168 -2.1 38.1
id169 -48.6 -37.7
id170 -27.1 8.4
id171 6.6 -6.9
id172 -2.3 38.3
id173 6.8 -6.9
id174 -2.5 38.3
id175 0.1 -0.1
id176 -2.1 38.1
id177 -48.6 -37.7
id178 -27.1 8.4
id179 6.6 -6.9
id180 -2.3 38.3
id181 6.8 -6.9
id182 -2.5 38.3
